objectid,filename,title,format,creator,subject,publisher,date,rights,rights_statement,charactersreferenced,dedicationinscription,dedicationindividual
Object_001,Potter_Inside Cover_001.jpg,The Tale of Tom Kitten,image/jpg,"Potter, Beatrix",Image; Mrs. Tiggy-Winkle; Jemima Puddle-Duck; Little Benjamin Bunny; Cousin Flopsy; Jeremy Fisher; Hedgehog; Duck; Rabbit; Frog,Frederick Warne - Penguine Books Ltd.,1987,"Copyright owned by the institution, Frederick Warne & Co. ",Copyright in all countries signatory to the Berne Convention,Mrs. Tiggy-Winkle; Jemima Puddle-Duck; Little Benjamin Bunny; Cousin Flopsy; Jeremy Fisher; NI,NA,NA
Object_002,Potter_Inside Cover_002.jpg,The Tale of Tom Kitten,image/jpg,"Potter, Beatrix",Image; Books-Children's; Books-Miniature; Tom Kitten; Peter Rabbit; Squirrel Nutkin; Old Brown; Mrs. Tittlemouse; Tailor of Glouchester; Cat; Rabbit; Squirrel; Mouse,Frederick Warne - Penguine Books Ltd.,1987,"Copyright owned by the institution, Frederick Warne & Co. ",Copyright in all countries signatory to the Berne Convention,Tom Kitten; Peter Rabbit; Squirrel Nutkin; Old Brown; Mrs. Tittlemouse; Tailor of Glouchester,NA,NA
Object_003,Potter_The Tale of Benjamin Bunny_001.jpg,The Tale of Benjamin Bunny,image/jpg,"Potter, Beatrix",Book Cover; Books-Miniature; Benjamin Bunny; Rabbit,Frederick Warne - Penguine Books Ltd.,1986,"Copyright owned by the institution, Frederick Warne & Co. ",Copyright in all countries signatory to the Berne Convention,Little Benjamin Bunny,NA,NA
Object_004,Potter_The Tale of Benjamin Bunny_002.jpg,The Tale of Benjamin Bunny,image/jpg,"Potter, Beatrix",Image; Mrs. Rabbit; Flopsy; Mopsy; Cotton-tail; Rabbit,Frederick Warne - Penguine Books Ltd.,1986,"Copyright owned by the institution, Frederick Warne & Co. ",Copyright in all countries signatory to the Berne Convention,Mrs. Rabbit; Flopsy; Mopsy; Cotton-tail,NA,NA
Object_005,Potter_The Tale of Benjamin Bunny_003.jpg,The Tale of Benjamin Bunny,image/jpg,"Potter, Beatrix",Title of Books; Mr. Benjamin Bunny; Rabbit,Frederick Warne - Penguine Books Ltd.,1986,"Copyright owned by the institution, Frederick Warne & Co. ",Copyright in all countries signatory to the Berne Convention,Mr. Benjamin Bunny,NA,NA
Object_006,Potter_The Tale of Benjamin Bunny_004.jpg,The Tale of Benjamin Bunny,image/jpg,"Potter, Beatrix",Inscriptions; Old Mr. Bunny; Rabbit,Frederick Warne - Penguine Books Ltd.,1986,"Copyright owned by the institution, Frederick Warne & Co. ",Copyright in all countries signatory to the Berne Convention,Old Mr. Bunny ,For the children of Sawrey from Old Mr. Bunny,children of Sawrey; Old Mr. Bunny
Object_007,Potter_The Tale of Jemima Puddle-Duck_001.jpg,The Tale of Jemima Puddle-Duck,image/jpg,"Potter, Beatrix",Book Cover; Jemima Puddle-Duck; Duck,Frederick Warne - Penguine Books Ltd.,1987,"Copyright owned by the institution, Frederick Warne & Co. ",Copyright in all countries signatory to the Berne Convention,Jemima Puddle-Duck,NA,NA
Object_008,Potter_The Tale of Jemima Puddle-Duck_002.jpg,The Tale of Jemima Puddle-Duck,image/jpg,"Potter, Beatrix",Image; Jemima Puddle-Duck; Duck,Frederick Warne - Penguine Books Ltd.,1987,"Copyright owned by the institution, Frederick Warne & Co. ",Copyright in all countries signatory to the Berne Convention,Jemima Puddle-Duck; NI,NA,NA
Object_009,Potter_The Tale of Jemima Puddle-Duck_003.jpg,The Tale of Jemima Puddle-Duck,image/jpg,"Potter, Beatrix",Title of Books; Jemima Puddle-Duck; Duck,Frederick Warne - Penguine Books Ltd.,1987,"Copyright owned by the institution, Frederick Warne & Co. ",Copyright in all countries signatory to the Berne Convention,NI,NA,NA
Object_010,Potter_The Tale of Jemima Puddle-Duck_004.jpg,The Tale of Jemima Puddle-Duck,image/jpg,"Potter, Beatrix",Inscriptions; Jemima Puddle-Duck; Duck,Frederick Warne - Penguine Books Ltd.,1987,"Copyright owned by the institution, Frederick Warne & Co. ",Copyright in all countries signatory to the Berne Convention,NA,A farmyard tale for Ralph and Betsy,Ralph; Betsy
Object_011,Potter_The Tale of Mr. Jeremy Fisher_001.jpg,The Tale of Mr. Jeremy Fisher,image/jpg,"Potter, Beatrix",Book Cover; Jeremy Fisher; Frog,Frederick Warne - Penguine Books Ltd.,1988,"Copyright owned by the institution, Frederick Warne & Co. ",Copyright in all countries signatory to the Berne Convention,Jeremy Fisher,NA,NA
Object_012,Potter_The Tale of Mr. Jeremy Fisher_002.jpg,The Tale of Mr. Jeremy Fisher,image/jpg,"Potter, Beatrix",Image; Jermey Fisher; Frog,Frederick Warne - Penguine Books Ltd.,1988,"Copyright owned by the institution, Frederick Warne & Co. ",Copyright in all countries signatory to the Berne Convention,Jeremy Fisher,NA,NA
