Object ID,File Name,Title,Format,Creator,Subject,Publisher,Date,Rights,Rights Statement ,Characters Referenced ,Dedication Inscription,Dedication Individual
Object_001,Potter_Inside Cover_001.jpg,The Tale of Tom Kitten,jpeg,"Potter, Beatrix",Image; Books-Children's; Books-Miniature; Mrs. Tiggy-Winkle; Jemima Puddle-Duck; Little Benjamin Bunny; Cousin Flopsy; Jeremy Fisher,Frederick Warne - Penguine Books Ltd.,1987,"Copyright owned by the institution, Frederick Warne & Co. ",Copyright in all countries signatory to the Berne Convention,Mrs. Tiggy-Winkle; Jemima Puddle-Duck; Little Benjamin Bunny; Cousin Flopsy; Jeremy Fisher; NI,NA,NA
Object_002,Potter_Inside Cover_002.jpg,The Tale of Tom Kitten,jpeg,"Potter, Beatrix",Image; Books-Children's; Books-Miniature; Tom Kitten; Peter Rabbit; Squirrel Nutkin; Old Brown; Mrs. Tittlemouse; Tailor of Glouchester,Frederick Warne - Penguine Books Ltd.,1987,"Copyright owned by the institution, Frederick Warne & Co. ",Copyright in all countries signatory to the Berne Convention,Tom Kitten; Peter Rabbit; Squirrel Nutkin; Old Brown; Mrs. Tittlemouse; Tailor of Glouchester,NA,NA
Object_003,Potter_The Tale of Benjamin Bunny_001.jpg,The Tale of Benjamin Bunny,jpeg,"Potter, Beatrix",Book Cover; Books-Children's; Books-Miniature; Benjamin Bunny,Frederick Warne - Penguine Books Ltd.,1986,"Copyright owned by the institution, Frederick Warne & Co. ",Copyright in all countries signatory to the Berne Convention,Little Benjamin Bunny,NA,NA
Object_004,Potter_The Tale of Benjamin Bunny_002.jpg,The Tale of Benjamin Bunny,jpeg,"Potter, Beatrix",Image; Books-Children's; Books-Miniature; Mrs. Rabbit; Flopsy; Mopsy; Cotton-tail,Frederick Warne - Penguine Books Ltd.,1986,"Copyright owned by the institution, Frederick Warne & Co. ",Copyright in all countries signatory to the Berne Convention,Mrs. Rabbit; Flopsy; Mopsy; Cotton-tail,NA,NA
Object_005,Potter_The Tale of Benjamin Bunny_003.jpg,The Tale of Benjamin Bunny,jpeg,"Potter, Beatrix",Title of Books; Books-Children's; Books-Miniature; Mr. Benjamin Bunny,Frederick Warne - Penguine Books Ltd.,1986,"Copyright owned by the institution, Frederick Warne & Co. ",Copyright in all countries signatory to the Berne Convention,Mr. Benjamin Bunny,NA,NA
Object_006,Potter_The Tale of Benjamin Bunny_004.jpg,The Tale of Benjamin Bunny,jpeg,"Potter, Beatrix",Inscriptions; Books-Children's; Books-Miniature; Old Mr. Bunny ,Frederick Warne - Penguine Books Ltd.,1896,"Copyright owned by the institution, Frederick Warne & Co. ",Copyright in all countries signatory to the Berne Convention,Old Mr. Bunny ,For the children of Sawrey from Old Mr. Bunny,children of Sawrey; Old Mr. Bunny
Object_007,Potter_The Tale of Jemima Puddle-Duck_001.jpg,The Tale of Jemima Puddle-Duck,jpeg,"Potter, Beatrix",Book Cover; Books-Children's; Books-Miniature; Jemima Puddle-Duck,Frederick Warne - Penguine Books Ltd.,1987,"Copyright owned by the institution, Frederick Warne & Co. ",Copyright in all countries signatory to the Berne Convention,Jemima Puddle-Duck,NA,NA
Object_008,Potter_The Tale of Jemima Puddle-Duck_002.jpg,The Tale of Jemima Puddle-Duck,jpeg,"Potter, Beatrix",Image; Books-Children's; Books-Miniature; Jemima Puddle-Duck,Frederick Warne - Penguine Books Ltd.,1987,"Copyright owned by the institution, Frederick Warne & Co. ",Copyright in all countries signatory to the Berne Convention,Jemima Puddle-Duck; NI,NA,NA
Object_009,Potter_The Tale of Jemima Puddle-Duck_003.jpg,The Tale of Jemima Puddle-Duck,jpeg,"Potter, Beatrix",Title of Books; Books-Children's; Books-Miniature,Frederick Warne - Penguine Books Ltd.,1987,"Copyright owned by the institution, Frederick Warne & Co. ",Copyright in all countries signatory to the Berne Convention,NI,NA,NA
Object_010,Potter_The Tale of Jemima Puddle-Duck_004.jpg,The Tale of Jemima Puddle-Duck,jpeg,"Potter, Beatrix",Inscriptions; Books-Children's; Books-Miniature,Frederick Warne - Penguine Books Ltd.,1987,"Copyright owned by the institution, Frederick Warne & Co. ",Copyright in all countries signatory to the Berne Convention,NA,A farmyard tale for Ralph and Betsy,Ralph; Betsy
Object_011,Potter_The Tale of Mr. Jeremy Fischer_001.jpg,The Tale of Mr. Jeremy Fischer,jpeg,"Potter, Beatrix",Book Cover; Books-Children's; Books-Miniature; Jeremy Fisher,Frederick Warne - Penguine Books Ltd.,1988,"Copyright owned by the institution, Frederick Warne & Co. ",Copyright in all countries signatory to the Berne Convention,Jeremy Fisher,NA,NA
